CustomerKey,First_Name,Last_Name,Full_Name,Gender,EmailAddress,Date_First_Purchase,Customer_City
11070,Willie,Raji,Willie Raji,Male,willie40@adventure-works.com,28-04-2020,Sunbury
11071,Linda,Serrano,Linda Serrano,Female,linda31@adventure-works.com,01-03-2022,Hawthorne
11072,Casey,Luo,Casey Luo,Female,casey6@adventure-works.com,31-03-2020,St. Leonards
11073,Amy,Ye,Amy Ye,Female,amy16@adventure-works.com,23-03-2022,Springwood
11074,Levi,Arun,Levi Arun,Male,levi6@adventure-works.com,23-03-2022,Cloverdale
11075,Felicia,Jimenez,Felicia Jimenez,Female,felicia4@adventure-works.com,28-04-2020,Bendigo
11076,Blake,Anderson,Blake Anderson,Male,blake9@adventure-works.com,21-04-2020,Wollongong
11077,Leah,Ye,Leah Ye,Female,leah7@adventure-works.com,15-04-2020,Melton
11078,Gina,Martin,Gina Martin,Female,gina1@adventure-works.com,15-02-2022,Cliffside
11079,Donald,Gonzalez,Donald Gonzalez,Male,donald20@adventure-works.com,15-03-2022,Geelong
11080,Damien,Chander,Damien Chander,Male,damien32@adventure-works.com,10-04-2020,Perth
11081,Savannah,Baker,Savannah Baker,Female,savannah39@adventure-works.com,12-02-2022,Concord
11082,Angela,Butler,Angela Butler,Female,angela17@adventure-works.com,22-01-2022,Fremont
11083,Alyssa,Cox,Alyssa Cox,Female,alyssa37@adventure-works.com,06-01-2022,Lincoln Acres
11084,Lucas,Phillips,Lucas Phillips,Male,lucas7@adventure-works.com,04-01-2022,Lebanon
11085,Emily,Johnson,Emily Johnson,Female,emily1@adventure-works.com,06-12-2022,Newport Beach
11086,Ryan,Brown,Ryan Brown,Male,ryan43@adventure-works.com,02-07-2022,Santa Monica
11087,Tamara,Liang,Tamara Liang,Female,tamara6@adventure-works.com,25-02-2022,Chula Vista
11088,Hunter,Davis,Hunter Davis,Male,hunter64@adventure-works.com,13-01-2022,San Diego
11089,Abigail,Price,Abigail Price,Female,abigail25@adventure-works.com,29-12-2021,Long Beach
11090,Trevor,Bryant,Trevor Bryant,Male,trevor18@adventure-works.com,07-08-2020,Los Angeles
11091,Dalton,Perez,Dalton Perez,Male,dalton37@adventure-works.com,29-01-2022,Haney
11092,Cheryl,Diaz,Cheryl Diaz,Female,cheryl4@adventure-works.com,08-04-2020,East Brisbane
11093,Aimee,He,Aimee He,Female,aimee13@adventure-works.com,07-04-2020,Wollongong
11094,Cedric,Ma,Cedric Ma,Male,cedric15@adventure-works.com,07-04-2022,Cranbourne
11095,Chad,Kumar,Chad Kumar,Male,chad9@adventure-works.com,01-04-2020,Port Macquarie
11096,Andrés,Anand,Andrés Anand,Male,andrés18@adventure-works.com,11-04-2020,North Sydney
11097,Edwin,Nara,Edwin Nara,Male,edwin39@adventure-works.com,04-04-2020,Warrnambool
11098,Mallory,Rubio,Mallory Rubio,Female,mallory7@adventure-works.com,11-02-2022,Rhodes
11099,Adam,Ross,Adam Ross,Male,adam2@adventure-works.com,07-04-2020,Port Macquarie
11100,Latasha,Navarro,Latasha Navarro,Female,latasha10@adventure-works.com,16-04-2020,Cloverdale
11101,Abby,Sai,Abby Sai,Female,abby4@adventure-works.com,29-04-2020,Cranbourne
11102,Julia,Nelson,Julia Nelson,Female,julia7@adventure-works.com,16-07-2022,Sydney
11103,Cassie,Chande,Cassie Chande,Female,cassie13@adventure-works.com,15-04-2020,Darlinghurst
11104,Edgar,Sara,Edgar Sara,Male,edgar11@adventure-works.com,04-05-2020,Gold Coast
11105,Candace,Fernandez,Candace Fernandez,Female,candace15@adventure-works.com,14-05-2020,Matraville
11106,Jessie,Liu,Jessie Liu,Male,jessie9@adventure-works.com,18-05-2020,Warrnambool
11107,Bianca,Lin,Bianca Lin,Female,bianca7@adventure-works.com,01-05-2020,St. Leonards
11108,Kari,Alvarez,Kari Alvarez,Female,kari25@adventure-works.com,03-05-2020,Port Macquarie
11109,Ruben,Kapoor,Ruben Kapoor,Male,ruben1@adventure-works.com,10-05-2020,South Melbourne
11110,Curtis,Yang,Curtis Yang,Male,curtis5@adventure-works.com,01-05-2020,Darlinghurst
11111,Meredith,Gutierrez,Meredith Gutierrez,Female,meredith34@adventure-works.com,20-05-2020,Geelong
11112,Crystal,Wang,Crystal Wang,Female,crystal3@adventure-works.com,25-05-2020,Hervey Bay
11113,Micheal,Blanco,Micheal Blanco,Male,micheal11@adventure-works.com,01-02-2022,Perth
11114,Leslie,Moreno,Leslie Moreno,Female,leslie7@adventure-works.com,18-03-2022,Rhodes
11115,Alvin,Cai,Alvin Cai,Male,alvin20@adventure-works.com,10-02-2022,St. Leonards
11116,Clinton,Carlson,Clinton Carlson,Male,clinton14@adventure-works.com,15-03-2022,Sydney
11117,April,Deng,April Deng,Female,april1@adventure-works.com,06-05-2020,Matraville
11118,Alvin,Zeng,Alvin Zeng,Male,alvin21@adventure-works.com,10-07-2022,Lavender Bay
11119,Evan,James,Evan James,Male,evan8@adventure-works.com,03-02-2022,Port Macquarie
11120,Beth,Jiménez,Beth Jiménez,Female,beth8@adventure-works.com,14-05-2020,Sydney
11121,Orlando,Suarez,Orlando Suarez,Male,orlando19@adventure-works.com,24-06-2022,Newcastle
11122,Byron,Vazquez,Byron Vazquez,Male,byron9@adventure-works.com,21-02-2022,North Sydney
11123,Philip,Alvarez,Philip Alvarez,Male,philip4@adventure-works.com,17-04-2022,Sunbury
11124,Ross,Jordan,Ross Jordan,Male,ross1@adventure-works.com,05-05-2020,Warrnambool
11125,Dana,Navarro,Dana Navarro,Female,dana2@adventure-works.com,31-01-2022,Seaford
11126,Shaun,Carson,Shaun Carson,Male,shaun16@adventure-works.com,28-05-2020,North Ryde
11127,Jan,Edwards,Jan Edwards,Female,jan11@adventure-works.com,10-04-2022,San Gabriel
11128,Samantha,Long,Samantha Long,Female,samantha35@adventure-works.com,19-06-2022,Renton
11129,Julia,Wright,Julia Wright,Female,julia17@adventure-works.com,06-08-2020,Sedro Woolley
11130,Caroline,Russell,Caroline Russell,Female,caroline21@adventure-works.com,09-12-2022,Lebanon
11131,Amanda,Rivera,Amanda Rivera,Female,amanda7@adventure-works.com,18-10-2022,Haney
11132,Melissa,Richardson,Melissa Richardson,Female,melissa31@adventure-works.com,09-04-2022,Langford
11133,Angela,Griffin,Angela Griffin,Female,angela23@adventure-works.com,30-12-2022,Lake Oswego
11134,Larry,Townsend,Larry Townsend,Male,larry14@adventure-works.com,03-05-2020,Perth
11135,Marcus,Harris,Marcus Harris,Male,marcus14@adventure-works.com,18-04-2022,Burlingame
11136,Brianna,Morgan,Brianna Morgan,Female,brianna30@adventure-works.com,03-01-2022,Metchosin
11137,Jasmine,Taylor,Jasmine Taylor,Female,jasmine7@adventure-works.com,31-07-2022,Spokane
11138,Lauren,Davis,Lauren Davis,Female,lauren23@adventure-works.com,19-09-2022,Glendale
11139,Tanya,Moreno,Tanya Moreno,Female,tanya2@adventure-works.com,14-09-2022,Cloverdale
11140,Javier,Alvarez,Javier Alvarez,Male,javier1@adventure-works.com,19-03-2022,Burbank
11141,Nicole,Ramirez,Nicole Ramirez,Female,nicole42@adventure-works.com,16-05-2022,Daly City
11142,Eduardo,Patterson,Eduardo Patterson,Male,eduardo55@adventure-works.com,13-02-2022,Langford
11143,Jonathan,Henderson,Jonathan Henderson,Male,jonathan4@adventure-works.com,15-06-2022,Lakewood
11144,Edward,Hernandez,Edward Hernandez,Male,edward48@adventure-works.com,25-01-2022,Ballard
11145,Jasmine,Coleman,Jasmine Coleman,Female,jasmine46@adventure-works.com,25-01-2022,Beaverton
11146,Karla,Goel,Karla Goel,Female,karla20@adventure-works.com,05-02-2022,Matraville
11147,Ernest,Wu,Ernest Wu,Male,ernest6@adventure-works.com,13-05-2020,Warrnambool
11148,Ross,Vazquez,Ross Vazquez,Male,ross32@adventure-works.com,07-03-2022,East Brisbane
11149,Theodore,Gill,Theodore Gill,Male,theodore14@adventure-works.com,04-06-2022,Hervey Bay
11150,Russell,Shen,Russell Shen,Male,russell6@adventure-works.com,27-03-2022,Sunbury
11151,Melinda,Gill,Melinda Gill,Female,melinda9@adventure-works.com,15-05-2020,Sydney
11152,James,Williams,James Williams,Male,james77@adventure-works.com,09-01-2022,Puyallup
11153,Angela,James,Angela James,Female,angela34@adventure-works.com,29-03-2022,Renton
11154,Megan,Walker,Megan Walker,Female,megan25@adventure-works.com,10-01-2022,Woodburn
11155,Hunter,Robinson,Hunter Robinson,Male,hunter50@adventure-works.com,06-01-2022,Burbank
11156,Maria,Roberts,Maria Roberts,Female,maria47@adventure-works.com,08-01-2022,Lakewood
11157,Hannah,Long,Hannah Long,Female,hannah32@adventure-works.com,24-07-2022,Tacoma
11158,Jason,Wright,Jason Wright,Male,jason46@adventure-works.com,19-01-2022,San Gabriel
11159,Brianna,Hughes,Brianna Hughes,Female,brianna57@adventure-works.com,08-09-2022,Woodland Hills
11160,Maurice,Tang,Maurice Tang,Male,maurice4@adventure-works.com,21-02-2022,Concord
11161,Emily,Wood,Emily Wood,Female,emily27@adventure-works.com,01-06-2022,Concord
11162,Chase,Cox,Chase Cox,Male,chase10@adventure-works.com,18-02-2022,La Jolla
11163,Gabriel,Wang,Gabriel Wang,Male,gabriel21@adventure-works.com,01-05-2022,Spring Valley
11164,Devin,Brooks,Devin Brooks,Male,devin63@adventure-works.com,27-04-2022,Torrance
11165,Jocelyn,Alexander,Jocelyn Alexander,Female,jocelyn18@adventure-works.com,25-05-2022,Oakland
11166,Ashley,Martinez,Ashley Martinez,Female,ashley18@adventure-works.com,14-10-2022,Olympia
11167,Jasmine,Barnes,Jasmine Barnes,Female,jasmine43@adventure-works.com,07-01-2022,Issaquah
11168,David,Rodriguez,David Rodriguez,Male,david83@adventure-works.com,15-01-2022,Oakland
11169,Bryce,Richardson,Bryce Richardson,Male,bryce8@adventure-works.com,26-05-2022,Coronado
11170,Carol,Howard,Carol Howard,Female,carol5@adventure-works.com,26-08-2022,Burien
11171,Jonathan,Hill,Jonathan Hill,Male,jonathan43@adventure-works.com,20-08-2020,Woodland Hills
11172,Gabrielle,Adams,Gabrielle Adams,Female,gabrielle58@adventure-works.com,03-05-2022,Lynnwood
11173,Sarah,Thomas,Sarah Thomas,Female,sarah13@adventure-works.com,02-03-2022,W. Linn
11174,Nicholas,Robinson,Nicholas Robinson,Male,nicholas19@adventure-works.com,13-07-2022,Los Angeles
11175,Luis,Wang,Luis Wang,Male,luis24@adventure-works.com,28-08-2020,Beverly Hills
11176,Mason,Roberts,Mason Roberts,Male,mason25@adventure-works.com,02-02-2022,Haney
11177,Jose,Flores,Jose Flores,Male,jose6@adventure-works.com,29-03-2022,San Diego
11178,Nathan,Johnson,Nathan Johnson,Male,nathan55@adventure-works.com,21-02-2022,Lakewood
11179,Molly,Rodriguez,Molly Rodriguez,Female,molly18@adventure-works.com,12-03-2022,Beverly Hills
11180,April,Anand,April Anand,Female,april18@adventure-works.com,17-03-2022,Chula Vista
11181,Devin,Martin,Devin Martin,Male,devin13@adventure-works.com,07-05-2022,Los Angeles
11182,Stephanie,Torres,Stephanie Torres,Female,stephanie19@adventure-works.com,28-08-2022,Sedro Woolley
11183,Jasmine,Lee,Jasmine Lee,Female,jasmine19@adventure-works.com,30-04-2022,Santa Cruz
11184,Meghan,Hernandez,Meghan Hernandez,Female,meghan3@adventure-works.com,10-08-2022,Concord
11185,Ashley,Henderson,Ashley Henderson,Female,ashley31@adventure-works.com,21-02-2022,Metchosin
11186,Sarah,Price,Sarah Price,Female,sarah25@adventure-works.com,18-10-2022,Palo Alto
11187,Jennifer,Cooper,Jennifer Cooper,Female,jennifer63@adventure-works.com,03-04-2022,Burien
11188,Catherine,Morris,Catherine Morris,Female,catherine16@adventure-works.com,01-11-2022,San Gabriel
11189,Lawrence,Blanco,Lawrence Blanco,Male,lawrence14@adventure-works.com,26-08-2020,Bellingham
11190,Carson,Bryant,Carson Bryant,Male,carson17@adventure-works.com,28-08-2022,Beverly Hills
11191,Kristi,Perez,Kristi Perez,Female,kristi39@adventure-works.com,11-08-2020,Colma
11192,James,Brown,James Brown,Male,james79@adventure-works.com,23-06-2022,Seattle
11193,Ian,Gray,Ian Gray,Male,ian72@adventure-works.com,25-02-2022,Woodburn
11194,Jacqueline,Price,Jacqueline Price,Female,jacqueline0@adventure-works.com,13-03-2022,Palo Alto
11195,Megan,Henderson,Megan Henderson,Female,megan55@adventure-works.com,14-04-2022,Renton
11196,Alfredo,Romero,Alfredo Romero,Male,alfredo10@adventure-works.com,03-03-2022,Beaverton
11197,Andrea,Morris,Andrea Morris,Female,andrea18@adventure-works.com,02-05-2022,Seattle
11198,Brooke,Sanders,Brooke Sanders,Female,brooke3@adventure-works.com,05-02-2022,Santa Cruz
11199,Jacqueline,Bennett,Jacqueline Bennett,Female,jacqueline1@adventure-works.com,18-03-2022,Burlingame
11200,Jason,Griffin,Jason Griffin,Male,jason18@adventure-works.com,07-02-2022,Victoria
11201,Amanda,Foster,Amanda Foster,Female,amanda37@adventure-works.com,01-07-2022,Santa Monica
11202,Alexia,Price,Alexia Price,Female,alexia0@adventure-works.com,15-09-2022,Lakewood
11203,Luis,Diaz,Luis Diaz,Male,luis21@adventure-works.com,20-02-2022,Port Hammond
11204,Destiny,Rivera,Destiny Rivera,Female,destiny33@adventure-works.com,09-08-2022,Beaverton
11205,Abby,Fernandez,Abby Fernandez,Female,abby13@adventure-works.com,27-07-2022,Burien
11206,Blake,Flores,Blake Flores,Male,blake60@adventure-works.com,11-05-2022,Lynnwood
11207,Danielle,Cox,Danielle Cox,Female,danielle12@adventure-works.com,31-01-2022,Renton
11208,Maria,Reed,Maria Reed,Female,maria4@adventure-works.com,04-03-2022,Glendale
11209,Allison,Evans,Allison Evans,Female,allison21@adventure-works.com,25-03-2022,Lincoln Acres
11210,Edward,Wood,Edward Wood,Male,edward50@adventure-works.com,06-05-2022,West Covina
11211,Samantha,Russell,Samantha Russell,Female,samantha42@adventure-works.com,01-02-2022,Haney
11212,Chloe,Campbell,Chloe Campbell,Female,chloe4@adventure-works.com,30-01-2022,Metchosin
11213,Stephanie,Murphy,Stephanie Murphy,Female,stephanie11@adventure-works.com,28-03-2022,Edmonds
11214,Charles,Miller,Charles Miller,Male,charles9@adventure-works.com,14-08-2022,Milwaukie
11215,Ana,Perry,Ana Perry,Female,ana7@adventure-works.com,15-02-2022,Royal Oak
11216,Jasmine,Torres,Jasmine Torres,Female,jasmine32@adventure-works.com,15-08-2020,Portland
11217,Natalie,Adams,Natalie Adams,Female,natalie58@adventure-works.com,10-08-2020,Portland
11218,Olivia,Brown,Olivia Brown,Female,olivia4@adventure-works.com,28-02-2022,Tacoma
11219,Charles,Cook,Charles Cook,Male,charles69@adventure-works.com,29-10-2022,Woodburn
11220,Erica,Huang,Erica Huang,Female,erica5@adventure-works.com,14-03-2022,Colma
11221,Nathan,Perry,Nathan Perry,Male,nathan3@adventure-works.com,07-04-2022,Lakewood
11222,Alexandra,Rivera,Alexandra Rivera,Female,alexandra11@adventure-works.com,01-11-2022,Santa Monica
11223,Hailey,Patterson,Hailey Patterson,Female,hailey30@adventure-works.com,29-01-2022,Langley
11224,Tiffany,Li,Tiffany Li,Female,tiffany3@adventure-works.com,07-08-2020,Burien
11225,Madison,Lee,Madison Lee,Female,madison22@adventure-works.com,22-06-2022,Renton
11226,Sydney,Ross,Sydney Ross,Female,sydney26@adventure-works.com,21-02-2022,W. Linn
11227,Marshall,Chavez,Marshall Chavez,Male,marshall35@adventure-works.com,03-08-2020,Colma
11228,Ashley,Jones,Ashley Jones,Female,ashley3@adventure-works.com,25-10-2022,El Cajon
11229,Adrian,Stewart,Adrian Stewart,Male,adrian21@adventure-works.com,27-07-2022,Redwood City
11230,Amber,Turner,Amber Turner,Female,amber4@adventure-works.com,16-07-2022,Santa Monica
11231,Dennis,Zhang,Dennis Zhang,Male,dennis1@adventure-works.com,10-02-2022,Bremerton
11232,Hailey,Bryant,Hailey Bryant,Female,hailey38@adventure-works.com,20-09-2022,Everett
11233,Todd,Li,Todd Li,Male,todd5@adventure-works.com,08-02-2022,Berkeley
11234,Anna,Griffin,Anna Griffin,Female,anna46@adventure-works.com,08-02-2022,Long Beach
11235,Angel,Stewart,Angel Stewart,Male,angel24@adventure-works.com,04-07-2022,Ballard
11236,Jeremy,Butler,Jeremy Butler,Male,jeremy29@adventure-works.com,03-10-2022,Bellingham
11237,Clarence,Anand,Clarence Anand,Male,clarence36@adventure-works.com,05-09-2020,Solingen
11238,Mayra,Prasad,Mayra Prasad,Female,mayra9@adventure-works.com,06-01-2020,Birmingham
11239,Latoya,Goel,Latoya Goel,Female,latoya18@adventure-works.com,19-01-2020,London
11240,Anne,Hernandez,Anne Hernandez,Female,anne4@adventure-works.com,27-02-2020,Watford
11241,Lisa,Cai,Lisa Cai,Female,lisa24@adventure-works.com,10-09-2021,Les Ulis
11242,Larry,Munoz,Larry Munoz,Male,larry9@adventure-works.com,19-09-2021,Versailles
11243,Robin,Alvarez,Robin Alvarez,Female,robin2@adventure-works.com,21-02-2020,Esher-Molesey
11244,Alexis,Coleman,Alexis Coleman,Female,alexis28@adventure-works.com,12-02-2020,Runcorn
11245,Ricky,Vazquez,Ricky Vazquez,Male,ricky15@adventure-works.com,26-09-2020,Hamburg
11246,Latasha,Rubio,Latasha Rubio,Female,latasha21@adventure-works.com,03-10-2020,Hamburg
11247,Claudia,Zhou,Claudia Zhou,Female,claudia7@adventure-works.com,18-02-2020,Lancaster
11248,Tristan,Alexander,Tristan Alexander,Male,tristan19@adventure-works.com,14-07-2022,Saint-Denis
11249,Cindy,Patel,Cindy Patel,Female,cindy3@adventure-works.com,09-10-2020,Sulzbach Taunus
11250,Shannon,Liu,Shannon Liu,Female,shannon4@adventure-works.com,17-03-2020,Woolston
11251,Xavier,Long,Xavier Long,Male,xavier51@adventure-works.com,18-10-2022,Haney
11252,Nicholas,Thompson,Nicholas Thompson,Male,nicholas16@adventure-works.com,14-08-2020,Lemon Grove
11253,José,Hernandez,José Hernandez,Male,josé54@adventure-works.com,01-03-2022,Victoria
11254,Johnathan,Vance,Johnathan Vance,Male,johnathan5@adventure-works.com,23-11-2022,Burien
11255,Colin,Lin,Colin Lin,Male,colin8@adventure-works.com,23-02-2022,Burien
11256,Katelyn,Hernandez,Katelyn Hernandez,Female,katelyn42@adventure-works.com,15-04-2022,Lynnwood
11257,Jacqueline,Powell,Jacqueline Powell,Female,jacqueline9@adventure-works.com,24-08-2020,Newport Beach
11258,Xavier,Hill,Xavier Hill,Male,xavier26@adventure-works.com,21-05-2022,Palo Alto
11259,Victoria,Stewart,Victoria Stewart,Female,victoria24@adventure-works.com,04-09-2020,Salem
11260,Katelyn,Kelly,Katelyn Kelly,Female,katelyn1@adventure-works.com,05-02-2022,Burlingame
11261,Stephanie,Collins,Stephanie Collins,Female,stephanie52@adventure-works.com,27-09-2020,San Diego
11262,Jennifer,Simmons,Jennifer Simmons,Female,jennifer88@adventure-works.com,27-02-2022,Port Hammond
11263,Trinity,Richardson,Trinity Richardson,Female,trinity9@adventure-works.com,29-08-2020,Burien
11264,Eduardo,Martin,Eduardo Martin,Male,eduardo13@adventure-works.com,02-01-2022,Issaquah
11265,Elizabeth,Jones,Elizabeth Jones,Female,elizabeth7@adventure-works.com,03-01-2022,Kirkland
11266,Taylor,Howard,Taylor Howard,Female,taylor14@adventure-works.com,10-09-2020,Port Orchard
11267,David,Diaz,David Diaz,Male,david55@adventure-works.com,17-09-2020,Burlingame
11268,Katelyn,Carter,Katelyn Carter,Female,katelyn33@adventure-works.com,29-05-2022,Coronado
11269,Ryan,Foster,Ryan Foster,Male,ryan19@adventure-works.com,22-08-2022,Daly City
11270,Robert,Lee,Robert Lee,Male,robert82@adventure-works.com,10-09-2020,Lakewood
11271,Danielle,Reed,Danielle Reed,Female,danielle23@adventure-works.com,27-09-2020,San Francisco
11272,Lauren,Martinez,Lauren Martinez,Female,lauren35@adventure-works.com,19-09-2020,Beverly Hills
11273,Nathan,Lal,Nathan Lal,Male,nathan26@adventure-works.com,14-05-2022,La Jolla
11274,Kyle,Foster,Kyle Foster,Male,kyle11@adventure-works.com,29-08-2020,Bellingham
11275,Jenny,Rai,Jenny Rai,Female,jenny40@adventure-works.com,30-08-2020,Colma
11276,Nancy,Chapman,Nancy Chapman,Female,nancy7@adventure-works.com,29-01-2022,Cliffside
11277,Charles,Jackson,Charles Jackson,Male,charles15@adventure-works.com,02-02-2022,Royal Oak
11278,Jonathan,Phillips,Jonathan Phillips,Male,jonathan35@adventure-works.com,16-09-2020,Edmonds
11279,Amanda,Cook,Amanda Cook,Female,amanda3@adventure-works.com,03-03-2022,Everett
11280,Robert,Collins,Robert Collins,Male,robert45@adventure-works.com,01-07-2022,Lynnwood
